"Empfänger";"Politikbereich";"Art";"Jahr";"Anschrift";"Geber";"Zuwendungsbereich";"Betrag"
"Tandem Beschäftigungs-u. Qualifizierungs gGmbH";"Arbeit";"Projektförderung";"2009";"Bülowstraße 90; 10783 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Alltagshilfe und Begleitservice für Seniorinnen in Spandau 2";"16369"
"pad e.V.";"Arbeit";"Projektförderung";"2009";"Kastanienallee 55; 12627 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Kinder- und Jugendfreizeiteinrichtungen in Hohenschönhausen";"4197"
"kiezküchen-ausbildungs-gmbH";"Arbeit";"Projektförderung";"2009";"Heinrich-Mann-Straße 31; 13156 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Wäscherin";"6820"
"Europäische Zukunft für alle e.V.";"Arbeit";"Projektförderung";"2009";"Leipziger Str. 55; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Frühe technische Entwicklung in den Schulen";"13301"
"Pfefferwerk Stadtkultur gGmbH";"Arbeit";"Projektförderung";"2009";"Fehrbelliner Str. 92; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung der Freiwilligenagentur Prenzlauer Berg (Frau Landgraf)";"6820"
"D&B Dienstleistung und Bildung GmbH";"Arbeit";"Projektförderung";"2009";"Frankfurter Allee 202; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Servicekräfte VBB in Berlin-Friedrichshain-Kreuzberg";"45000"
"Sozialwissenschaftliches Forschungszentrum Berlin-Brandenburg e.V.";"Arbeit";"Projektförderung";"2009";"Köpenicker Straße 125; 10179 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Sozialanalyse Marzahn-Hellersdorf";"8773"
"BBJ SERVIS gGmbH - Träger für kommunale Beschäftigung";"Arbeit";"Projektförderung";"2009";"Greifswalder Str. 208; 10405 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Verkehrsschulen für Kinder in Steglitz-Zehlendorf_ hier Nachbesetzung";"7900"
"Kulturverein Prenzlauer Berg e.V.";"Arbeit";"Projektförderung";"2009";"Danziger Straße 50; 10435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Zentrum danziger 50 Kultur im Kiez";"2623"
"BUF - Bildungseinrichtung für berufliche Umschulung und Fortbildung im Berufsförderwerk Bekleidung e.V.";"Arbeit";"Projektförderung";"2009";"Rigaer Str. 73; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Mitarbeiterin im Kreativbereich";"4290"
"MUT Gesellschaft für Gesundheit mbH";"Arbeit";"Projektförderung";"2009";"Rudolfstr. 11; 10245 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - KommInn - Kommunikation und Integration im Stadtteil";"35654"
"EVANGELISCHER JUGENDHILFE VEREIN e. V.";"Arbeit";"Projektförderung";"2009";"Hindenburgdamm 101; 12203 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Sozialhelfer in Spandau";"6438"
"Arbeitslosenverband Deutschland Landesverband Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Siegfriedstr. 204; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Arbeitslosenzentrum Marzahn 2";"8233"
"Bildungsmarkt Waldenser gGmbH";"Arbeit";"Projektförderung";"2009";"Waldenserstraße 2-4; 10551 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Concierge";"12591"
"apabiz - antifaschistisches pressearchiv und bildungszentrum berlin e.V.";"Arbeit";"Projektförderung";"2009";"Lausitzerstraße 10; 10999 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Archiv und Bildung";"6413"
"BBJ SERVIS gGmbH - Träger für kommunale Beschäftigung";"Arbeit";"Projektförderung";"2009";"Greifswalder Str. 208; 10405 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Hilfe im Alltag für Senioren und behinderte Menschen";"14615"
"Stiftung Haus der Demokratie";"Arbeit";"Projektförderung";"2009";"Greifswalder Straße 4; 10405 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Öffentlichkeitsarbeit";"6132"
"Miteinander-Füreinander Selbsthilfebegegnungsstätten e.V.";"Arbeit";"Projektförderung";"2009";"Straße der Pariser Kommune 24; 10243 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Zusätzliche Betreuung der nichtkommerziellen Galerie ""Kuckucksnest"" und der ausstellenden KünstlerInnen";"5779"
"Stadtteilverein Tiergarten e.V.";"Arbeit";"Projektförderung";"2009";"Pohlstr. 89; 10785 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Seniorenarbeit im Nachbarschaftstreff";"54081"
"Internationaler Delphischer Rat e.V.";"Arbeit";"Projektförderung";"2009";"Stiftsweg 1; 13187 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Filmische Dokumentation des Programme ""Delphiade der Künste zuhause in Berlin""";"6165"
"Sonnenuhr e.V.";"Arbeit";"Projektförderung";"2009";"Schönhauser Allee 36-39; 10435 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - KünstlerInnen und Theaterfachleute mit u. ohne Behinderung lernen und produzieren gemeinsam Projekte f. öffentliche Präsentationen";"7772"
"Förderkreis Alte Kirchen Berlin- Brandenburg e.V.";"Arbeit";"Projektförderung";"2009";"Postfach 24675; 10128 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Denkmalgerechte Erhaltung sakraler Bauten";"8361"
"Freie Hilfe Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Brunnenstr. 28; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Hilfe im Umgang mit Behörden";"7881"
"Kinder-, Kultur- und Nachbarschaftszentrum Regenbogenfabrik Block 109 e.V.";"Arbeit";"Projektförderung";"2009";"Lausitzer Straße 22; 10999 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Bildung und Beschäftigung unterm Regenbogen";"25529"
"SPIELwagen e.V.";"Arbeit";"Projektförderung";"2009";"Schreinerstr. 18; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Mobile Spielaktionen auf Stadtplätzen";"11025"
"MUSIKFORUM - Klassik e.V.";"Arbeit";"Projektförderung";"2009";"Wilhelminenhofstraße 89 a; 12459 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Klassische Orchestermusik";"8296"
"Kommunales Forum Wedding e.V.";"Arbeit";"Projektförderung";"2009";"Sprengelstraße 15; 13353 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Das Sprengelhaus 1 - Beschäftigungsfeld Veranstaltungsservice im Sprengelhaus";"70319"
"Förderband e. V. Kulturinitiative Berlin";"Arbeit";"Projektförderung";"2009";"Torstraße 150; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung Zimmertheater Karlshorst";"5779"
"KMA - Kreuzberger Musikalische Aktion e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstraße 2; 10969 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Culture Rodeo 2 und Inti-Haus 2";"21503"
"NABU Landesverband Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Wollankstraße 4; 13187 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung der ehrenamtlichen Arbeiten und Bürgerberatung 2";"23159"
"Gesundheit Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstraße 231; 10969 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Gemeindedolmetschdienst";"8312"
"BBJ SERVIS gGmbH - Träger für kommunale Beschäftigung";"Arbeit";"Projektförderung";"2009";"Greifswalder Str. 208; 10405 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Mobilitätshelfer 2";"7015"
"SONED e.V.";"Arbeit";"Projektförderung";"2009";"Kreutzigerstraße 19; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Interkulturelle Nachbarschaftsarbeit im Boxhagener Kiez 1";"6915"
"Verband für interkulturelle Arbeit - VIA - Regionalverband Berlin-Brandenburg e.V.";"Arbeit";"Projektförderung";"2009";"Petersburger Str. 92; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Nachbarschaftslotsen in der Werner-Düttmann-Siedlung";"12740"
"MUSIKFORUM - Klassik e.V.";"Arbeit";"Projektförderung";"2009";"Wilhelminenhofstraße 89 a; 12459 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Klassische Orchestermusik";"12444"
"Gesellschaft für Arbeitsförderung mbH";"Arbeit";"Projektförderung";"2009";"Herzbergstraße 55; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Vergangenheit erleben";"59138"
"Hedwig-Wachenheim-Gesellschaft e.V.";"Arbeit";"Projektförderung";"2009";"Oderstr. 16; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Handicap - Hilfe für behinderte Jugendliche";"6295"
"Kulturring in Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstraße 128; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Projektmanagerin für Öffentlichkeitsarbeit";"3147"
"Glücksspiel-Sucht-Hilfe e.V. - Verein zur Förderung der Hilfe bei Glücksspielsucht";"Arbeit";"Projektförderung";"2009";"Eintrachtstraße 1; 13187 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Beschäftigungszuschuss zur Beschäftigungsförderung";"6599"
"Verein für gesunde Lebensweise, Freizeitsport, Ernährung und Erholung ÖKOFEE e.V.";"Arbeit";"Projektförderung";"2009";"Libboldallee 17; 12527 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Koordinator für Umweltprojekte";"8380"
"BUF - Bildungseinrichtung für berufliche Umschulung und Fortbildung im Berufsförderwerk Bekleidung e.V.";"Arbeit";"Projektförderung";"2009";"Rigaer Str. 73; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Mitarbeiter in den Jugendverkehrsschulen 2";"7552"
"Hedwig-Wachenheim-Gesellschaft e.V.";"Arbeit";"Projektförderung";"2009";"Oderstr. 16; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Kunst Handwerk";"12740"
"Löwenhöhle e.V.";"Arbeit";"Projektförderung";"2009";"Wrangelstr. 63; 10997 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung der Integrationserzieherinnen";"9237"
"kiezküchen-ausbildungs-gmbH";"Arbeit";"Projektförderung";"2009";"Heinrich-Mann-Straße 31; 13156 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Beikoch";"6820"
"KREATIVHAUS e.V.";"Arbeit";"Projektförderung";"2009";"Fischerinsel 3; 10179 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Informationsdrehscheibe Cafè COCO";"16366"
"FrauSuchtZukunft - Verein zur Hilfe suchtmittelabhängiger Frauen e.V.";"Arbeit";"Projektförderung";"2009";"Dircksenstr. 47; 10178 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Sozialpädagoginnen/-arbeiterinnen";"5843"
"BUF - Bildungseinrichtung für berufliche Umschulung und Fortbildung im Berufsförderwerk Bekleidung e.V.";"Arbeit";"Projektförderung";"2009";"Rigaer Str. 73; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Soziale Möbelbörse Lichtenberg 1";"4721"
"KALINA-Frauenzentrum e.V.";"Arbeit";"Projektförderung";"2009";"Berolinastr. 20, Ninel Ziegler; 10178 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Sozialberatung für Frauen in der Krise aus Osteuropa";"3672"
"Beschäftigungswerk-Arbeit für Berlin GmbH";"Arbeit";"Projektförderung";"2009";"Bizetstraße 51 - 55; 13088 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Bürohilfe beim Mobilitätshilfsdienst Karow/ Buch";"6820"
"Umbruch Bildarchiv e.V.";"Arbeit";"Projektförderung";"2009";"Lausitzer Str. 10; 10999 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Archiv und Medienarbeit";"14880"
"Stiftung SYNANON";"Arbeit";"Projektförderung";"2009";"Bernburger Straße 10; 10963 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Arbeit und Sucht";"53014"
"Kulturring in Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstraße 128; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Medienpoint und Kinderkunstmeile";"51121"
"Kulturring in Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstraße 128; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Kommunale Geschichts- und Kulturarbeit";"114794"
"ARBLI GmbH";"Arbeit";"Projektförderung";"2009";"Köpenicker Str. 325 b; 12555 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Helfen hilft";"28137"
"Kulturring in Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Friedrichstraße 128; 10117 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Kultur in Aktion";"19121"
"Glashaus e.V. - Verein der Nutzer der Brotfabrik";"Arbeit";"Projektförderung";"2009";"Caligariplatz(Pr. Promenade 3); 13086 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung der Kinder- und Jugendprojektarbeit";"5910"
"BQG ""Ankunft"" gGmbH";"Arbeit";"Projektförderung";"2009";"Strausberger Str. 3; 10243 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Mobil im Alter";"6820"
"Diakonie-Pflege Verbund Berlin gGmbH";"Arbeit";"Projektförderung";"2009";"Zossener Str. 24; 10961 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützende Tätigkeiten in den Einrichtungen der Diakonie-Pflege-Verbund Berlin gGmbH";"14181"
"G.A.L.B. Förderung gGmbH";"Arbeit";"Projektförderung";"2009";"Reinickendorfer Str. 65/66; 13347 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Integrative Werkstatt zur Spielzeugaufbereitung - handwerkliche Tätigkeiten";"4197"
"Bürgerhilfe Kultur des Helfens gGmbH";"Arbeit";"Projektförderung";"2009";"Taborstr. 17; 10997 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Betreuung Hilfebedürftiger";"2596"
"ARBLI GmbH";"Arbeit";"Projektförderung";"2009";"Köpenicker Str. 325 b; 12555 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Helfen hilft, Teil 3";"28647"
"Förderverein Kindermusiktheater ATZE e.V. - c/o ATZE Musiktheater";"Arbeit";"Projektförderung";"2009";"Luxemburger Straße 20; 13353 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Theaterpat/-innen";"1772"
"südost Europa Kultur e.V.";"Arbeit";"Projektförderung";"2009";"Großbeerenstr. 88; 10963 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - südost Zentrum - Beratung, Betreuung und Bildung für traumatisierte Flüchtlinge und Migrant/innen";"51666"
"pro futura e.V.";"Arbeit";"Projektförderung";"2009";"Storkower Str. 139b; 10407 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Lichtblicke - zusätzliche Hilfe für Bedürftige";"6820"
"Berliner Fraueninitiative Xanthippe e.V.";"Arbeit";"Projektförderung";"2009";"Torstr. 207; 10115 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Europäische Identität von Künstlerinnen";"9341"
"Förderband e. V. Kulturinitiative Berlin";"Arbeit";"Projektförderung";"2009";"Torstraße 150; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Vielfalt fördern Mitte IV";"19952"
"kiezküchen-ausbildungs-gmbH";"Arbeit";"Projektförderung";"2009";"Heinrich-Mann-Straße 31; 13156 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Bürohilfskraft";"6820"
"A&QUA gGmbH gemeinnützige Gesellschaft für Bildung, Arbeit und und Qualifizierung";"Arbeit";"Projektförderung";"2009";"Köpenicker Straße 10; 10997 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Helfer in öffentlichen Einrichtungen (7232)";"72400"
"Stiftung SYNANON";"Arbeit";"Projektförderung";"2009";"Bernburger Straße 10; 10963 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Arbeit und Sucht II";"16788"
"Kreativ e.V. - Gesellschaft zur Förderung innovativen Denkens";"Arbeit";"Projektförderung";"2009";"Franz-Mehring-Platz 1; 10243 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Senioren und moderne Medien 1";"29631"
"Nachbarschaftshaus Urbanstraße e.V.";"Arbeit";"Projektförderung";"2009";"Urbanstraße 21; 10961 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Projekte des Nachbarschaftshauses Urbanstraße e.V.";"30822"
"LOWTEC gGmbH";"Arbeit";"Projektförderung";"2009";"Lützowstr. 106; 10785 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Tastbar-Blindenleitsystem";"14689"
"MUT Gesellschaft für Gesundheit mbH";"Arbeit";"Projektförderung";"2009";"Rudolfstr. 11; 10245 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - KommIn - Kommunikation und Integration im Stadtteil";"13706"
"MUT Gesellschaft für Gesundheit mbH";"Arbeit";"Projektförderung";"2009";"Rudolfstr. 11; 10245 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Einsatz für ein rauchfreies Friedrichshain-Kreuzberg";"6941"
"Jugend- und Sozialwerk gGmbH";"Arbeit";"Projektförderung";"2009";"Mühlenfeld 11; 16515 Oranienburg";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - zusätzliche Hilfe und Unterstützung des Hausmeisters in der Kita ""Sonnenblume""";"6165"
"Arbeitslosenverband Deutschland Landesverband Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Siegfriedstr. 204; 10365 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung der Schuldnerberatung Marzahn";"9331"
"Stern-Radio Berlin GmbH";"Arbeit";"Projektförderung";"2009";"Liebermannstr. 75; 13088 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Näharbeiten";"20460"
"Drogentherapie-Zentrum Berlin e.V.";"Arbeit";"Projektförderung";"2009";"Frankfurter Allee 40; 10247 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Beschäftigungschance DTZ Berlin e.V.";"33334"
"Berlin macht mit e.V.";"Arbeit";"Projektförderung";"2009";"Boelkestr. 22; 12101 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Soziale Betreuung 1";"16249"
"Förderverein für Jugend und Sozialarbeit e.V.";"Arbeit";"Projektförderung";"2009";"Marchlewskistr. 27; 10243 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Organisationsassistenz in der Akademie für Ehrenamtlichkeit Deutschland";"4359"
"Förderverein für generationsübergreifende Existenzgründungen e.V.";"Arbeit";"Projektförderung";"2009";"Franz-Mehring-Platz 1; 10243 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Förderung der Vernetzung von Existenzgründungen II - Mitarbeiter für Verwaltung, Organisation und PR-Fachkraft";"8166"
"Stadtteilverein Tiergarten e.V.";"Arbeit";"Projektförderung";"2009";"Pohlstr. 89; 10785 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Nachbarschaftszentrum in Tiergarten 2008 - 2010_3";"7621"
"Pfefferwerk Stadtkultur gGmbH";"Arbeit";"Projektförderung";"2009";"Fehrbelliner Str. 92; 10119 Berlin";"Senatsverwaltung für Integration, Arbeit und Soziales";"BZM ÖBS Land - Unterstützung der Freiwilligenagentur Prenzlauer Berg";"6295"
